PROTEINS
DB00001
DB00006
DB00009
DB00013
DB00015
DB00029
DB00031
DB00054
DB00055
DB00086
DB00178
DB00203
DB00208
DB00214
DB00230
DB00232
DB00235
DB00243
DB00261
DB00264
DB00266
DB00270
DB00277
DB00278
DB00310
DB00311
DB00335
DB00343
DB00350
DB00381
DB00390
DB00393
DB00401
DB00407
DB00412
DB00421
DB00435
DB00436
DB00457
DB00472
DB00482
DB00492
DB00498
DB00511
DB00519
DB00542
DB00555
DB00562
DB00569
DB00571
DB00584
DB00594
DB00598
DB00606
DB00622
DB00627
DB00640
DB00651
DB00653
DB00661
DB00678
DB00682
DB00686
DB00691
DB00695
DB00703
DB00722
DB00727
DB00770
DB00774
DB00790
DB00796
DB00806
DB00808
DB00819
DB00825
DB00869
DB00880
DB00881
DB00886
DB00887
DB00903
DB00909
DB00922
DB00925
DB00945
DB00946
DB00973
DB00974
DB00975
DB00999
DB01020
DB01021
DB01023
DB01029
DB01054
DB01074
DB01078
DB01088
DB01109
DB01115
DB01118
DB01119
DB01136
DB01138
DB01144
DB01166
DB01180
DB01194
DB01197
DB01203
DB01221
DB01225
DB01236
DB01240
DB01244
DB01275
DB01324
DB01325
DB01340
DB01345
DB01348
DB01359
DB01388
DB01395
DB01396
DB01418
DB01427
DB01612
DB01626
DB01946
DB02587
DB02709
DB03904
DB04513
DB04838
DB04861
DB04880
DB04898
DB04925
DB05099
DB05266
DB05767
DB06081
DB06152
DB06154
DB06209
DB06228
DB06271
DB06406
DB06543
DB06605
DB06635
DB06695
DB06698
DB06712
DB06754
DB06779
DB06822
DB07278
DB08162
DB08496
DB08794
DB08813
DB08814
DB08816
DB08836
DB08838
DB08907
DB08931
DB08932
DB08949
DB09075
DB09089
DB09092
DB09154
DB09216
DB09220
DB09229
DB09231
DB09232
DB09236
DB09238
DB09258
DB09282
DB09283
DB09338
DB09401
DB09477
DB11166
DB11598
DB11827
DB12010
DB12364
DB12445
DB12598
DB12831
DB13149
DB13151
DB13166
DB13746
DB13919
DB13961
DB14500
DB14598
DB14600
DB15565
